R,T (degC)
0.025,80
0.026000000000000002,79.01385059609561
0.027000000000000003,78.06492338338137
0.028000000000000004,77.15051036383119
0.029000000000000005,76.26818871551723
0.030000000000000002,75.41578210475916
0.031,74.59132834426788
0.032,73.79305218773555
0.033,73.01934231202597
0.034,72.26873173651632
0.035,71.53988108150429
0.036000000000000004,70.83156418559446
0.037000000000000005,70.14265569410077
0.038000000000000006,69.47212030296146
0.03900000000000001,68.81900340005188
0.04000000000000001,68.1824228915475
0.041,67.56156203770706
0.042,66.95566315208049
0.04300000000000001,66.36402204220559
0.044,65.78598308948386
0.045000000000000005,65.22093488202779
0.046,64.66830632753783
0.047,64.12756318425153
0.04800000000000001,63.59820495714155
0.049000000000000016,63.079762114165305
0.05,62.57179358376209
0.05100000000000001,62.07388450017339
0.052000000000000005,61.58564416770781
0.053000000000000005,61.10670421892269
0.054000000000000006,60.63671694496975
0.05500000000000001,60.175353779146974
0.05600000000000001,59.7223039170907
0.057000000000000016,59.27727305909468
0.05800000000000001,58.839982261810405
0.059000000000000004,58.41016688810663
0.060000000000000005,57.98757564518991
0.06100000000000001,57.57196970223066
0.062000000000000006,57.16312187973642
0.063,56.76081590378385
0.06400000000000002,56.36484571898109
0.065,55.97501485469394
0.066,55.59113583965927
0.067,55.213029660616485
0.068,54.840525261045286
0.069,54.47345907649611
0.07000000000000002,54.11167460335355
0.07100000000000001,53.755021998186635
0.07200000000000001,53.403357705120584
0.07300000000000001,53.05654410890827
0.07400000000000001,52.7144492116052
0.07500000000000002,52.376946330946396
0.07600000000000003,52.04391381869965
0.07700000000000001,51.715234797428764
0.07800000000000001,51.390796914241434
0.07900000000000001,51.07049211022343
0.08000000000000002,50.7542164043748
0.08100000000000002,50.44186969096677
0.082,50.13335554933258
0.08300000000000003,49.82858106518631
0.08400000000000002,49.52745666264258
0.085,49.229895946175816
0.08600000000000001,48.93581555182351
0.08700000000000001,48.645135006989676
0.08800000000000002,48.357776598261296
0.08900000000000001,48.0736652466922
0.09000000000000001,47.792728390055515
0.09100000000000001,47.51489587160137
0.09200000000000001,47.24009983489469
0.09300000000000003,46.96827462433657
0.09400000000000001,46.699356691006585
0.09500000000000001,46.4332845034869
0.09600000000000003,46.16999846335568
0.09700000000000002,45.90944082505894
0.09800000000000005,45.65155561989218
0.099,45.3962885838414
0.1,45.14358708904899
